from,to,weight,abs_weight,sign
Fear proper housing is difficult,Government officials do not improve people lives,0.2090253317159001,0.2090253317159001,positive
Natives should receive priority over immigrants,Events result from secret activities,0.20857432775785806,0.20857432775785806,positive
Important norms and values are no longer important,Government is run by big interests,0.2083612440713377,0.2083612440713377,positive
Living standards will decline,Immigration threatens my values,0.20604999619266734,0.20604999619266734,positive
Women should stay home and care for children,Government agencies closely monitor citizens,0.20241242445023067,0.20241242445023067,positive
Living standards will decline,Politicians should spend time among ordinary people,0.19990342156705873,0.19990342156705873,positive
Afraid of losing job,Important norms and values are no longer important,0.1991850471564932,0.1991850471564932,positive
Country of residence,Natives should receive priority over immigrants,0.1983412877500716,0.1983412877500716,positive
Afraid of losing job,Government officials do not improve people lives,0.1943464544512742,0.1943464544512742,positive
Multicultural influences harm national traditions,Politicians should spend time among ordinary people,0.19400860189175953,0.19400860189175953,positive
Afraid of losing job,Political opponents are misinformed,0.19272863919636096,0.19272863919636096,positive
Anxious about the future,Important norms and values are no longer important,0.18854739789984068,0.18854739789984068,positive
Natives should receive priority over immigrants,Secret organizations influence political decisions,0.18787418259891017,0.18787418259891017,positive
Afraid of losing job,Elites failed to protect cultural identity,0.1878218591994981,0.1878218591994981,positive
Country of residence,Women should stay home and care for children,0.18641281526925002,0.18641281526925002,positive
Afraid of losing job,Events result from secret activities,0.18106541536111187,0.18106541536111187,positive
Important norms and values are no longer important,Political opponents are misinformed,0.17832062847299335,0.17832062847299335,positive
Afraid of losing job,Natives should receive priority over immigrants,0.17409965387565338,0.17409965387565338,positive
Immigration threatens my values,Events result from secret activities,0.1663789246499743,0.1663789246499743,positive
Fear proper housing is difficult,Immigrants should give up their culture,0.16321142516069637,0.16321142516069637,positive
Anxious about the future,Events result from secret activities,0.16303547165162677,0.16303547165162677,positive
Immigration threatens my values,Government officials do not improve people lives,0.15964801653261473,0.15964801653261473,positive
Political views reveal if a person is good or bad,Government agencies closely monitor citizens,0.1594482784535003,0.1594482784535003,positive
Fear proper housing is difficult,Immigration threatens my values,0.15924459276730774,0.15924459276730774,positive
Afraid of losing job,Will of the people is the highest political principle,0.15886857223197087,0.15886857223197087,positive
Afraid of losing job,Immigrants should give up their culture,0.15629753917415154,0.15629753917415154,positive
Country of residence,Immigrants should give up their culture,0.15539447919572935,0.15539447919572935,positive
Immigration threatens my values,Government agencies closely monitor citizens,0.15473606683809593,0.15473606683809593,positive
Country of residence,Important norms and values are no longer important,0.1538745017017869,0.1538745017017869,positive
Fear proper housing is difficult,Events result from secret activities,0.14966605268265532,0.14966605268265532,positive
Country of residence,Secret organizations influence political decisions,0.14308582327297756,0.14308582327297756,positive
Country of residence,Government officials do not improve people lives,0.13853344303879436,0.13853344303879436,positive
Fear proper housing is difficult,Living standards will decline,0.13849906811809648,0.13849906811809648,positive
Country of residence,Events result from secret activities,0.1303851851288735,0.1303851851288735,positive
Age category,Government officials do not improve people lives,0.1142754365744156,0.1142754365744156,positive
Fear proper housing is difficult,Natives should receive priority over immigrants,0.10613782434513716,0.10613782434513716,positive
Country of residence,Anxious about the future,0.08985208576641143,0.08985208576641143,positive
Country of residence,Politicians conceal true motives,0.08790500587135311,0.08790500587135311,positive
Fear proper housing is difficult,Political opponents are misinformed,0.08710081981521614,0.08710081981521614,positive
Age category,Secret organizations influence political decisions,0.0827149822806722,0.0827149822806722,positive
Afraid of losing job,Secret organizations influence political decisions,0.0800713965548997,0.0800713965548997,positive
Political opponents are misinformed,Immigrants should give up their culture,0.07191619935502686,0.07191619935502686,positive
Age category,Government agencies closely monitor citizens,0.07071495886758847,0.07071495886758847,positive
